index,ewmac_5_20_raw,ewmac_20_60_raw,ewmac_32_128_raw,ewmac_60_150_raw,ewmac_100_200_raw,ewmac_5_20_scaled_capped,ewmac_20_60_scaled_capped,ewmac_32_128_scaled_capped,ewmac_60_150_scaled_capped,ewmac_100_200_scaled_capped,ewmac_5_20_weight,ewmac_20_60_weight,ewmac_32_128_weight,ewmac_60_150_weight,ewmac_100_200_weight,combined_forecast
2023-06-23,1.7240968711786908,4.667188200433765,6.826995391705878,4.445075188139838,2.4303607067138464,13.819853205211762,23.599052399190356,18.919076548152468,14.446449921400987,7.969464624390042,7.211012776857662e-23,0.9859556168475113,1.7828298382049514e-16,5.2308013903715684e-20,0.01404438315248854,19.97121148236929
2023-06-26,1.1234232859271045,4.408565142467216,6.64581835657784,4.378850865638735,2.4252920588437954,9.005176705647305,22.28688707210194,18.414466627505377,14.230238975082012,7.953109563916297,7.09655225659008e-23,0.9861207658361403,1.7919789507307215e-16,5.147772796873607e-20,0.01387923416385952,19.97436414392281
2023-06-27,1.0660479880391982,4.3053509658995015,6.61079684390067,4.392349968544648,2.4619550588815886,8.545468562037462,21.76092499533518,18.314942342005924,14.273112548446816,8.0735900570107,6.983908569977541e-23,0.9862832934122515,1.8009828392481463e-16,5.0660621175581535e-20,0.013716706587748425,19.979359187116522
2023-06-28,1.1342563142956008,4.4018000956173395,6.864230276609246,4.595176926055269,2.60518972687198,9.092362935610673,22.243971968631662,19.014272354869778,14.931005307441794,8.543508392662762,6.873052878390594e-23,0.986443241185567,1.8098438089002145e-16,4.985648433152467e-20,0.013556758814432737,19.989034730421576
2023-06-29,1.0695592366105218,4.434245871331191,7.046049160546845,4.757478064396594,2.7278751427156527,8.573941244302688,22.403398822435616,19.514890511881628,15.456990635428939,8.945999078588585,6.763956800955823e-23,0.986600650105338,1.8185641282403454e-16,4.906511156435761e-20,0.013399349894661745,19.997600502660717
2023-06-30,1.2825328835309349,4.413382256125453,7.071598571997579,4.8009762029900385,2.7813468822673713,10.281161419290052,22.293517303219524,19.58259152980397,15.596891634171913,9.121489026198125,6.656592407289858e-23,0.9867555604708269,1.8271460298131727e-16,4.828630026968527e-20,0.013244439529172834,20.0
2023-07-03,1.4891513957745661,4.567534418407072,7.375199723520835,5.033477472179357,2.9451859040436643,11.937099176804356,23.067276410725814,20.419849987774082,16.350523086810533,9.658856481063614,6.55093221034875e-23,0.9869080119416257,1.835591710726114e-16,4.7519851059055357e-20,0.013091988058374224,20.0
2023-07-04,1.489151395774566,4.567534418407071,7.375199723520833,5.0334774721793565,2.945185904043664,11.936722218623991,23.062363429349617,20.41638184893875,16.348830494285323,9.658910199267304,6.446949159390833e-23,0.9870580435478084,1.8439033332118657e-16,4.6765567708911616e-20,0.012941956452191464,20.0
2023-07-05,1.5756758140674407,4.570821475085786,7.445362348689004,5.109129574252254,3.018422349911351,12.629742151569472,23.07404135104496,20.607045364280438,16.592766392776127,9.899109707812142,6.344616633051296e-23,0.9872056936999247,1.8520830251819704e-16,4.602325711035747e-20,0.012794306300075095,20.0
2023-07-06,1.276453040547223,4.454412340066818,7.394028202563596,5.116267315485998,3.0534613058822493,10.231300021747408,22.48181950742032,20.46147458047637,16.614156051526948,10.014019922989144,6.243908432526673e-23,0.9873510001988329,1.8601328807715972e-16,4.529272921971687e-20,0.012648999801166924,20.0
